observed_at,source,level,variant,outcome,hits_to_clear,time_to_clear_s,speed_p50,speed_p90,speed_max,damage_p50,damage_max,max_combo,glancing_hits,damaging_hits,rope_contacts,yanks,frame_ms_p95,errors
2026-09-13T13:14:16.067Z,human,L8,heavy,SHATTER,3,2.04,152.53,321.75,474.07,40,40,3,2,3,533,0,6.2,0
2026-09-13T13:14:19.164Z,human,L8,heavy,SHATTER,3,2.2,198.11,291.78,356.18,40,40,3,1,3,222,0,6.2,0
2026-09-13T13:14:23.127Z,human,L9,heavy,SHATTER,3,3.06,173.46,407.45,505.67,40,40,3,0,3,618,0,6.2,0
2026-09-13T13:14:27.506Z,human,L9,heavy,SHATTER,3,5.77,64.76,242.64,501.23,40,40,2,1,3,698,2,6.2,0
2026-09-13T13:14:34.914Z,human,L9,heavy,SHATTER,4,3.33,156.73,336.74,430.03,31.36,40,4,1,4,972,0,6.2,0
2026-09-13T13:14:39.285Z,human,L9,heavy,SHATTER,4,2.73,183.43,269.89,409.05,40,40,4,0,4,399,0,6.2,0
2026-09-13T13:14:44.025Z,human,L9,heavy,SHATTER,4,2.94,146.23,380.99,537.29,40,40,4,1,4,768,0,6.2,0
2026-09-13T13:14:48.218Z,human,L9,heavy,SHATTER,3,2.44,135.62,421.02,840.55,40,40,3,0,3,427,0,6.2,0
2026-09-13T13:14:51.762Z,human,L9,heavy,SHATTER,4,2.97,179.32,301.55,434.89,40,40,4,2,4,673,0,6.2,0
2026-09-14T08:03:49.158Z,human,L4,standard,SHATTER,3,3.3,131.92,272.46,391.72,40,40,3,1,3,256,0,6.2,0
2026-09-14T08:03:53.988Z,human,L4,standard,SHATTER,4,3,124.39,194.18,266.21,32.54,40,4,2,4,326,0,6.2,0
2026-09-14T08:03:58.483Z,human,L4,standard,SHATTER,4,2.47,75.99,183.41,331.66,17.66,40,4,1,4,623,0,6.2,0
2026-09-14T08:04:03.101Z,human,L4,standard,SHATTER,3,2.89,170.68,256.09,349.4,40,40,3,1,3,339,0,6.1,0
2026-09-14T08:04:07.372Z,human,L4,standard,SHATTER,3,2.9,71.02,327.4,467.04,40,40,3,0,3,708,0,6.2,0
2026-09-14T08:04:11.514Z,human,L5,standard,SHATTER,3,3.07,98.66,266.17,405.24,40,40,3,2,3,737,0,6.2,0
2026-09-14T08:04:16.077Z,human,L5,standard,SHATTER,4,2.76,151.69,247.82,378.71,34.85,40,4,3,4,643,0,6.2,0
2026-09-14T08:04:20.189Z,human,L5,standard,SHATTER,4,3.82,138.61,229.05,313.34,24.98,40,4,4,4,832,0,6.1,0
2026-09-14T08:04:24.979Z,human,L5,standard,SHATTER,6,4.47,128.26,209.87,383.71,7.37,40,4,4,6,1491,0,6.2,0
2026-09-14T08:04:31.032Z,human,L5,standard,SHATTER,3,3.51,84.77,408.91,596.61,40,40,3,0,3,958,0,6.2,0
2026-09-14T08:04:36.003Z,human,L6,standard,SHATTER,3,3.77,166.61,244.12,365.9,40,40,2,0,3,277,0,6.2,0
2026-09-14T08:04:41.445Z,human,L6,standard,SHATTER,4,3.65,177.88,449.06,737.64,40,40,4,1,4,1163,0,6.2,0
2026-09-14T08:04:46.420Z,human,L6,standard,SHATTER,5,4.16,144.02,322.29,461.45,26.58,40,5,0,5,383,0,6.2,0
2026-09-14T08:04:51.918Z,human,L6,standard,SHATTER,4,3.11,124.42,203.71,367.63,18.16,40,4,2,4,608,0,6.2,0
2026-09-14T08:04:56.997Z,human,L7,standard,SHATTER,4,3.33,128.29,250,309.54,33.5,40,4,2,4,340,0,6.1,0
2026-09-14T08:05:01.319Z,human,L7,standard,SHATTER,4,2.96,127.13,189,247.31,14.57,40,4,2,4,506,0,6.1,0
2026-09-14T08:05:05.306Z,human,L7,standard,SHATTER,5,4.39,93,177.08,294.64,23.23,40,3,0,5,688,0,6.2,0
2026-09-14T08:05:10.873Z,human,L7,standard,SHATTER,4,3.47,122.25,176.01,224.38,31.63,40,4,1,4,607,0,6.1,0
2026-09-14T08:05:16.105Z,human,L8,standard,SHATTER,5,2.82,116.14,283.27,402.24,40,40,5,3,5,559,0,6.2,0
2026-09-14T08:05:21.318Z,human,L8,standard,SHATTER,4,2.69,139.53,203.49,281.19,26,40,4,2,4,365,0,6.1,0
2026-09-14T08:05:25.338Z,human,L8,standard,SHATTER,4,2.74,114.87,186.98,247.38,13.66,40,4,3,4,626,0,6.2,0
2026-09-14T08:05:29.698Z,human,L8,standard,SHATTER,4,3.05,104.23,180.67,263.47,36.9,40,4,3,4,506,0,6.1,0
2026-09-14T08:05:34.302Z,human,L8,standard,SHATTER,5,2.96,36.29,145.44,290.15,39.67,40,5,2,5,1413,0,6.1,0
2026-09-14T08:05:38.925Z,human,L8,standard,SHATTER,5,4.24,74.48,171.23,253.81,25.13,40,5,1,5,829,0,6.2,0
2026-09-14T08:05:44.911Z,human,L9,standard,SHATTER,3,3.79,51.84,206.69,335.34,40,40,3,1,3,958,0,6.2,0
2026-09-14T08:05:49.864Z,human,L9,standard,SHATTER,8,10.64,51.04,148.45,269.43,13.64,40,3,2,8,3224,0,6.2,0
2026-09-14T08:06:02.029Z,human,L9,standard,SHATTER,4,3.13,103.08,253.83,322.8,15.39,40,4,1,4,218,0,6.2,0
2026-09-14T08:06:06.480Z,human,L9,standard,SHATTER,3,2.88,93.99,242.76,344.03,40,40,2,0,3,176,0,6.2,0
2026-09-14T08:06:10.594Z,human,L9,standard,SHATTER,4,4.1,132.24,229.63,356.29,16.37,40,3,1,4,727,0,6.1,0
2026-09-14T08:06:15.831Z,human,L9,standard,SHATTER,4,4.76,115.5,197.34,308.62,19.39,40,3,1,4,1204,0,6.2,0
2026-09-14T08:06:21.882Z,human,L9,standard,SHATTER,5,4.22,104.21,206.13,336.12,40,40,4,3,5,536,0,6.2,0
2026-09-14T08:06:29.777Z,human,L4,heavy,SHATTER,3,3.02,118.78,292.42,454.75,40,40,3,0,3,826,0,6.2,0
2026-09-14T08:06:35.401Z,human,L5,heavy,SHATTER,3,3.16,116.71,237.09,342.96,40,40,3,0,3,303,0,6.2,0
2026-09-14T08:06:40.246Z,human,L5,heavy,SHATTER,4,2.87,128.63,235.6,319.73,39.06,40,4,1,4,611,0,6.1,0
2026-09-14T08:06:44.597Z,human,L5,heavy,SHATTER,4,3.11,140.32,240.65,292.29,34.74,40,4,2,4,463,0,6.2,0
2026-09-14T08:06:49.012Z,human,L5,heavy,SHATTER,4,4.81,145.14,321.5,499.47,38.33,40,2,3,4,1013,0,6.2,0
2026-09-14T08:06:57.017Z,human,L5,heavy,SHATTER,3,2.76,162.71,277.48,441.63,40,40,2,1,3,291,0,6.2,0
2026-09-14T08:07:03.266Z,human,L6,heavy,SHATTER,4,3.54,104.43,358.58,635.18,29.57,40,3,2,4,1140,0,6.2,0
2026-09-14T08:07:09.185Z,human,L6,heavy,SHATTER,3,3.59,87.22,317.65,546.99,40,40,3,2,3,755,0,6.2,0
2026-09-14T08:07:14.479Z,human,L6,heavy,SHATTER,3,2.19,98.14,254.11,345.85,40,40,3,1,3,354,0,6.2,0
2026-09-14T08:07:17.956Z,human,L6,heavy,SHATTER,3,2.13,121.65,250.88,284.37,40,40,3,3,3,325,0,6.2,0
2026-09-14T08:07:21.388Z,human,L6,heavy,SHATTER,4,3.7,136.04,285.95,459.21,31.11,40,4,1,4,1381,0,6.2,0
2026-09-14T08:07:26.580Z,human,L6,heavy,SHATTER,4,4.92,152.45,357.29,544.07,40,40,3,1,4,1362,0,6.2,0
